"irregular_noun_id","reference_id","created_at","updated_at"
"1","4",NULL,NULL
"2","4",NULL,NULL
"3","6",NULL,NULL
"4","5",NULL,NULL
"5","5",NULL,NULL
"7","5",NULL,NULL
"8","5",NULL,NULL
"9","7",NULL,NULL
"11","7",NULL,NULL
"12","7",NULL,NULL
"13","8",NULL,NULL
"14","8",NULL,NULL
"15","8",NULL,NULL
"16","8",NULL,NULL
"17","8",NULL,NULL
"18","8",NULL,NULL
"19","8",NULL,NULL
"20","8",NULL,NULL
"21","8",NULL,NULL
"22","8",NULL,NULL
"23","8",NULL,NULL
"24","8",NULL,NULL
"25","9",NULL,NULL
"26","9",NULL,NULL
