"normal_noun_id","reference_id","created_at","updated_at"
"1","1",NULL,NULL
"2","1",NULL,NULL
"3","1",NULL,NULL
"4","1",NULL,NULL
"4","2",NULL,NULL
"5","2",NULL,NULL
"6","2",NULL,NULL
"7","2",NULL,NULL
"8","2",NULL,NULL
"9","2",NULL,NULL
"10","2",NULL,NULL
"11","2",NULL,NULL
"12","2",NULL,NULL
"13","2",NULL,NULL
"14","2",NULL,NULL
"15","2",NULL,NULL
"16","2",NULL,NULL
"17","2",NULL,NULL
"18","2",NULL,NULL
"19","2",NULL,NULL
"20","2",NULL,NULL
"21","2",NULL,NULL
"22","2",NULL,NULL
"23","2",NULL,NULL
"24","2",NULL,NULL
"25","2",NULL,NULL
"26","3",NULL,NULL
"27","3",NULL,NULL
"28","3",NULL,NULL
"29","3",NULL,NULL
"30","3",NULL,NULL
"31","3",NULL,NULL
